TestDate;sites_Collection;pop;trait;dose_ppm;dose;Replique;mort;vivant;total;populations;Traitements
20/06/2019;Koira_tagui;An_g;bact_gris;100ppm;100;1;25;0;25;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;10ppm;10;1;25;0;25;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;5ppm;5;1;19;7;26;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;1ppm;1;1;12;13;25;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;0.5ppm;0.5;1;4;21;25;An_gambiae;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;1000ppm;1000;2;25;0;25;Culex_pipens;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;100ppm;100;2;25;0;25;Culex_pipens;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;10ppm;10;2;25;0;25;Culex_pipens;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;5ppm;5;2;25;0;25;Culex_pipens;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;1ppm;1;2;24;1;25;Culex_pipens;Bactivec+Griselesf
17/06/2019;Koira_tagui;culexp;bact_gris;0.5ppm;0.5;2;17;8;25;Culex_pipens;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;1000ppm;1000;2;25;0;25;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;100ppm;100;2;25;0;25;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;10ppm;10;2;25;0;25;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;5ppm;5;2;20;5;25;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;1ppm;1;2;14;11;25;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;0.5ppm;0.5;2;3;22;25;An_gambiae;Bactivec+Griselesf
12/06/2019;Koira_tagui;culexp;bact_gris;1000ppm;1000;3;25;0;25;Culex_pipens;Bactivec+Griselesf
12/06/2019;Koira_tagui;culexp;bact_gris;100ppm;100;3;25;0;25;Culex_pipens;Bactivec+Griselesf
12/06/2019;Koira_tagui;culexp;bact_gris;10ppm;10;3;25;0;25;Culex_pipens;Bactivec+Griselesf
12/06/2019;Koira_tagui;culexp;bact_gris;5ppm;5;3;25;0;25;Culex_pipens;Bactivec+Griselesf
12/06/2019;Koira_tagui;culexp;bact_gris;1ppm;1;3;25;0;25;Culex_pipens;Bactivec+Griselesf
12/06/2019;Koira_tagui;culexp;bact_gris;0.5ppm;0.5;3;9;16;25;Culex_pipens;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;1000ppm;1000;3;25;0;25;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;100ppm;100;3;25;0;25;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;10ppm;10;3;25;1;26;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;5ppm;5;3;20;7;27;An_gambiae;Bactivec+Griselesf
20/06/2019;Koira_tagui;An_g;bact_gris;1ppm;1;3;11;14;25;An_gambiae;Bactivec+Griselesf
